Index,Question
1,What is the most memorable thing about your time as a Marine
2,How to reduce the time required to select the best model for a solution??
3,Is there a faster way to derive the optimal input values for the problems that we have been solving in class beside try and error?
4,how do solve problems when there's little data...
5,?
6,What is your favorite ML model?
7,can we have more structured lecture notes?
8,How could we create capacity to do more in DSTA?
9,Will understand the math behind all the machine and deep learning model help us in better turning the model?
10,Why did you decide to go into teaching?
11,Why would people choose supervised learning if there is option for unsupervised learning?
12,How to extract the gist of a passage
13,What's your height?
14,What do you think is the next big thing after deep learning?
15,"Is it possible to train a model to predict with 100% accuracy, give unlimited time and compute?"
16,Do I need to come out a new model for the project?
17,What is the meaning of life?
18,Where can I squeeze in time for my assignment this weekend?
19,Why is the likelihood function a product of individual conditional probabilities?
